ZDEP,HASTUS,"HASTUS,ZDEP"
50096575,lmurgar1,"lmurgar1,50096575"
50112626,ecqpres,"ecqpres,50112626"
50112625,ecqpres2,"ecqpres2,50112625"
50112666,elagayl2,"elagayl2,50112666"
50112667,elagayl4,"elagayl4,50112667"
50112642,elalatt,"elalatt,50112642"
50112643,elalatt2,"elalatt2,50112643"
50112640,elaprag,"elaprag,50112640"
50112639,elaprag2,"elaprag2,50112639"
50112617,lmuboug2,"lmuboug2,50112617"
50112616,lmubougi,"lmubougi,50112616"
50112622,lmuchamo,"lmuchamo,50112622"
50112623,lmucomt,"lmucomt,50112623"
50112620,lmusabl2,"lmusabl2,50112620"
50112619,lmusablo,"lmusablo,50112619"
50096586,lmuvign,"lmuvign,50096586"
50112677,lmuvign2,"lmuvign2,50112677"
50112675,mbrga11,"mbrga11,50112675"
50112676,mbrga13,"mbrga13,50112676"
50096583,lmurgar,"lmurgar,50096583"
50096589,orgartd1,"orgartd1,50096589"
50096588,ogvconfo,"ogvconfo,50096588"
50112628,orgtoys,"orgtoys,50112628"
50112633,plagrig2,"plagrig2,50112633"
50112634,plagriga,"plagriga,50112634"
50112637,plapsc,"plapsc,50112637"
50112636,plapsc2,"plapsc2,50112636"
50096584,puta14,"puta14,50096584"
50096585,put2a14,"put2a14,50096585"
50112630,thivgri2,"thivgri2,50112630"
50112631,thivgrig,"thivgrig,50112631"
50112670,trabase,"trabase,50112670"
50112669,trabase2,"trabase2,50112669"
50112672,travagu,"travagu,50112672"
50112673,travagu2,"travagu2,50112673"
50096587,vergare,"vergare,50096587"
50112366,verjaur1,"verjaur1,50112366"
50112367,verjaur2,"verjaur2,50112367"
